gene_id	gene_name	RAP1_IAA_30M_REP1	RAP1_UNINDUCED_REP1	RAP1_UNINDUCED_REP2	WT_REP1	WT_REP2
HRA1	HRA1	363.501	363.501	363.501	363.501	363.501
snR18	snR18	13.169	3.543	3.543	12.813	12.992
tA(UGC)A	TGA1	5.7898	5.7898	5.7898	5.7898	5.7898
tL(CAA)A	SUP56	6.8274	6.8274	6.8274	6.8274	6.8274
tP(UGG)A	TRN1	7.126	7.126	7.126	7.126	7.126
tS(AGA)A	tS(AGA)A	9.576	9.576	9.576	9.576	9.576
YAL001C	TFC3	3314.154	3233	3233	3315.837	3315.171
YAL002W	VPS8	3656.154	3575	3575	3657.837	3657.171
YAL003W	EFB1	452.299	371	371	453.955	453.506
YAL004W	YAL004W	479.271	479.824180755827	479.824180755827	479.824180755827	480.378
YAL005C	SSA1	1760.154	1679	1679	1761.837	1761.171
YAL007C	ERP2	479.271	398	398	480.931	480.378
YAL008W	FUN14	428.351	347	347	430.07	429.622
YAL009W	SPO7	611.162	530	530	612.853	612.249
YAL010C	MDM10	1313.154	1232	1232	1314.837	1314.171
YAL011W	SWC3	1709.154	1628	1628	1710.837	1710.171
YAL012W	CYS3	1016.154	935	935	1017.837	1017.171
YAL013W	DEP1	1049.154	968	968	1050.837	1050.171
YAL014C	SYN8	599.162	518	518	600.853	600.249
YAL015C	NTG1	1031.154	950	950	1032.837	1032.171
YAL016C-A	YAL016C-A	119.5126	119.5126	119.5126	119.5126	119.5126
YAL016C-B	YAL016C-B	34.5792	34.5792	34.5792	34.5792	34.5792
YAL016W	TPD3	1739.154	1658	1658	1740.837	1740.171
YAL017W	PSK1	3902.154	3821	3821	3903.837	3903.171
YAL018C	LDS1	777.2356	777.2356	777.2356	777.2356	777.2356
YAL019W	FUN30	3227.154	3146	3146	3228.837	3228.171
YAL019W-A	YAL019W-A	369.4872	369.4872	369.4872	369.4872	369.4872
YAL020C	ATS1	833.154	752	752	834.837	834.171
YAL021C	CCR4	2345.154	2264	2264	2346.837	2346.171
YAL022C	FUN26	1385.154	1304	1304	1386.837	1386.171
YAL023C	PMT2	2111.154	2030	2030	2112.837	2112.171
YAL024C	LTE1	4139.154	4058	4058	4140.837	4140.171
YAL025C	MAK16	752.154	671	671	753.853	753.171
YAL026C	DRS2	3899.154	3818	3818	3900.837	3900.171
YAL026C-A	YAL026C-A	270.673	188	188	272.708	272.534
YAL027W	SAW1	617.162	536	536	618.853	618.249
YAL028W	FRT2	1418.154	1337	1337	1419.837	1419.171
YAL029C	MYO4	4247.154	4166	4166	4248.837	4248.171
YAL030W	SNC1	189.879	104.002	104.002	192.025	192.247
YAL031C	GIP4	2114.154	2033	2033	2115.837	2115.171
YAL031W-A	YAL031W-A	113.9734	113.9734	113.9734	113.9734	113.9734
YAL032C	PRP45	971.154	890	890	972.837	972.171
YAL033W	POP5	353.666	272	272	355.395	355.223
YAL034C	FUN19	1073.154	992	992	1074.837	1074.171
YAL034C-B	YAL034C-B	156.431	156.431	156.431	156.431	156.431
YAL034W-A	MTW1	701.154	620	620	702.853	702.171
YAL035W	FUN12	2840.154	2759	2759	2841.837	2841.171
YAL036C	RBG1	941.154	860	860	942.837	942.171
YAL037C-A	YAL037C-A	8.0492	8.0492	8.0492	8.0492	8.0492
YAL037C-B	YAL037C-B	806.154	764.500915630583	725	764.500915630583	764.500915630583
YAL037W	YAL037W	635.154	554	554	636.853	636.246
YAL038W	CDC19	1334.154	1253	1253	1335.837	1335.171
YAL039C	CYC3	641.154	560	560	642.853	642.246
YAL040C	CLN3	1574.154	1493	1493	1575.837	1575.171
YAL041W	CDC24	2396.154	2315	2315	2397.837	2397.171
YAL042C-A	YAL042C-A	179.6118	179.6118	179.6118	179.6118	179.6118
YAL042W	ERV46	1079.154	998	998	1080.837	1080.171
YAL043C	PTA1	2189.154	2108	2108	2190.837	2190.171
YAL044C	GCV3	344.717	263	263	346.487	346.315
YAL044W-A	YAL044W-A	170.387	83.038	83.038	172.634	172.86
YAL045C	YAL045C	59.592	59.592	59.592	59.592	59.592
YAL046C	AIM1	192.767	107.001	107.001	194.808	195.036
YAL047C	SPC72	1700.154	1619	1619	1701.837	1701.171
YAL047W-A	YAL047W-A	133.5616	133.5616	133.5616	133.5616	133.5616
YAL048C	GEM1	1820.154	1739	1739	1821.837	1821.171
YAL049C	AIM2	572.162	491	491	573.877	573.257
YAL051W	OAF1	2975.154	2894	2894	2976.837	2976.171
YAL053W	FLC2	2183.154	2102	2102	2184.837	2184.171
YAL054C	ACS1	1973.154	1892	1892	1974.837	1974.171
YAL055W	PEX22	374.537	293	293	376.278	375.951
YAL056C-A	YAL056C-A	153.5442	153.5442	153.5442	153.5442	153.5442
YAL056W	GPB2	2474.154	2393	2393	2475.837	2475.171
YAL058W	CNE1	1340.154	1259	1259	1341.837	1341.171
YAL059C-A	YAL059C-A	223.5768	223.5768	223.5768	223.5768	223.5768
YAL059W	ECM1	470.275	389	389	471.931	471.418
YAL060W	BDH1	980.154	899	899	981.837	981.171
YAL061W	BDH2	1085.154	1004	1004	1086.837	1086.171
YAL062W	GDH3	1205.154	1124	1124	1206.837	1206.171
YAL063C	FLO9	3800.154	3719	3719	3801.837	3801.171
YAL063C-A	YAL063C-A	43.643	43.643	43.643	43.643	43.643
YAL064C-A	TDA8	182.5292	182.5292	182.5292	182.5292	182.5292
YAL064W	YAL064W	38.947	38.947	38.947	38.947	38.947
YAL064W-B	YAL064W-B	215.543	183.101645891106	131	217.406	183.101645891106
YAL065C	YAL065C	188.3616	188.3616	188.3616	188.3616	188.3616
YAL066W	YAL066W	113.9734	113.9734	113.9734	113.9734	113.9734
YAL067C	SEO1	1613.154	1532	1532	1614.837	1572.46328094686
YAL067W-A	YAL067W-A	54.9778	54.9778	54.9778	54.9778	54.9778
YAL068C	PAU8	198.487	113	113	200.447	200.703
YAL068W-A	YAL068W-A	102.131	46.9520780690269	21.585	46.9520780690269	46.9520780690269
YAL069W	YAL069W	65.324	65.324	65.324	65.324	65.324
YAR002C-A	ERP1	491.271	410	410	492.915	492.33
YAR002W	NUP60	1451.154	1370	1370	1452.837	1452.171
YAR003W	SWD1	1112.154	1031	1031	1113.837	1113.171
YAR007C	RFA1	1697.154	1616	1616	1698.837	1698.171
YAR008W	SEN34	659.154	578	578	660.853	660.246
YAR009C	YAR009C	3422.154	3341	3341	3423.837	3423.171
YAR010C	YAR010C	1154.154	1073	1073	1155.837	1155.171
YAR014C	BUD14	1961.154	1880	1880	1962.837	1962.171
YAR015W	ADE1	752.154	671	671	753.853	753.171
YAR018C	KIN3	1139.154	1058	1058	1140.837	1140.171
YAR019C	CDC15	2756.154	2675	2675	2757.837	2757.171
YAR019W-A	YAR019W-A	136.3914	136.3914	136.3914	136.3914	136.3914
YAR020C	PAU7	27.4772	27.4772	27.4772	27.4772	27.4772
YAR023C	YAR023C	371.568	290	290	373.295	328.640905396932
YAR027W	UIP3	539.167	458	458	540.905	540.268
YAR028W	YAR028W	536.168	455	455	537.907	537.268
YAR029W	YAR029W	78.812	12.734	12.734	23.3797939809584	23.3797939809584
YAR030C	YAR030C	178.803	143.848977149565	92.011	180.928	143.848977149565
YAR031W	PRM9	728.154	647	647	729.853	729.171
YAR033W	MST28	536.168	455	455	537.907	537.268
YAR035C-A	YAR035C-A	6.7408	6.7408	6.7408	6.7408	6.7408
YAR035W	YAT1	1895.154	1814	1814	1896.837	1896.171
YAR042W	SWH1	3398.154	3317	3317	3399.837	3399.171
YAR047C	YAR047C	107.260033964194	107.260033964194	71.167	161.658	107.260033964194
YAR050W	FLO1	4445.154	4364	4364	4446.837	4446.171
YAR053W	YAR053W	103.2216	103.2216	103.2216	103.2216	103.2216
YAR060C	YAR060C	173.216	137.780581445283	86.025	137.780581445283	175.53
YAR061W	YAR061W	42.7066	42.7066	42.7066	42.7066	42.7066
YAR062W	YAR062W	428.351	399.842974523461	347	430.07	399.842974523461
YAR064W	YAR064W	105.8538	105.8538	105.8538	105.8538	105.8538
YAR066W	YAR066W	443.318	362	362	444.976	444.537
YAR068W	YAR068W	317.992	236	236	319.8	319.55
YAR069C	YAR069C	138.206	138.206	138.206	138.206	138.206
YAR070C	YAR070C	105.8538	105.8538	105.8538	105.8538	105.8538
