tx	gene_id	RAP1_IAA_30M_REP1	RAP1_UNINDUCED_REP1	RAP1_UNINDUCED_REP2	WT_REP1	WT_REP2
YAL069W	YAL069W	153.892	65.324	65.324	156.221	156.802
YAL068W-A	YAL068W-A	102.131	21.585	21.585	104.386	105.22
YAL068C	YAL068C	198.487	113	113	200.447	200.703
YAL067W-A	YAL067W-A	81.079	13.36	13.36	83.108	83.982
YAL067C	YAL067C	1613.154	1532	1532	1614.837	1614.171
YAL066W	YAL066W	148.46	59.592	59.592	150.842	151.381
YAL065C	YAL065C	221.235	137	137	223.187	223.386
YAL064W-B	YAL064W-B	215.543	131	131	217.406	217.697
YAL064C-A	YAL064C-A	215.543	131	131	217.406	217.697
YAL064W	YAL064W	127.206	38.947	38.947	129.805	130.554
YAL063C-A	YAL063C-A	132.475	43.643	43.643	134.965	135.655
YAL063C	YAL063C	3800.154	3719	3719	3801.837	3801.171
YAL062W	YAL062W	1205.154	1124	1124	1206.837	1206.171
YAL061W	YAL061W	1085.154	1004	1004	1086.837	1086.171
YAL060W	YAL060W	980.154	899	899	981.837	981.171
YAL059C-A	YAL059C-A	255.928	173	173	258.022	257.934
YAL059W	YAL059W	470.275	389	389	471.931	471.418
YAL058W	YAL058W	1340.154	1259	1259	1341.837	1341.171
YAL056C-A	YAL056C-A	187.089	101.003	101.003	189.198	189.428
YAL056W	YAL056W	2474.154	2393	2393	2475.837	2475.171
YAL055W	YAL055W	374.537	293	293	376.278	375.951
YAL054C	YAL054C	1973.154	1892	1892	1974.837	1974.171
YAL053W	YAL053W	2183.154	2102	2102	2184.837	2184.171
YAL051W	YAL051W	2975.154	2894	2894	2976.837	2976.171
YAL049C	YAL049C	572.162	491	491	573.877	573.257
YAL048C	YAL048C	1820.154	1739	1739	1821.837	1821.171
YAL047W-A	YAL047W-A	167.638	80.056	80.056	169.853	170.205
YAL047C	YAL047C	1700.154	1619	1619	1701.837	1701.171
YAL046C	YAL046C	192.767	107.001	107.001	194.808	195.036
YAL045C	YAL045C	148.46	59.592	59.592	150.842	151.381
YAL044W-A	YAL044W-A	170.387	83.038	83.038	172.634	172.86
YAL044C	YAL044C	344.717	263	263	346.487	346.315
YAL043C	YAL043C	2189.154	2108	2108	2190.837	2190.171
YAL042C-A	YAL042C-A	212.65	128	128	214.546	214.863
YAL042W	YAL042W	1079.154	998	998	1080.837	1080.171
YAL041W	YAL041W	2396.154	2315	2315	2397.837	2397.171
YAL040C	YAL040C	1574.154	1493	1493	1575.837	1575.171
YAL039C	YAL039C	641.154	560	560	642.853	642.246
YAL038W	YAL038W	1334.154	1253	1253	1335.837	1335.171
YAL037C-B	YAL037C-B	806.154	725	725	807.853	807.171
YAL037C-A	YAL037C-A	11.294	3.333	3.333	11.1	11.186
YAL037W	YAL037W	635.154	554	554	636.853	636.246
YAL036C	YAL036C	941.154	860	860	942.837	942.171
YAL035W	YAL035W	2840.154	2759	2759	2841.837	2841.171
YAL034C-B	YAL034C-B	189.879	104.002	104.002	192.025	192.247
YAL034W-A	YAL034W-A	701.154	620	620	702.853	702.171
YAL034C	YAL034C	1073.154	992	992	1074.837	1074.171
YAL033W	YAL033W	353.666	272	272	355.395	355.223
YAL032C	YAL032C	971.154	890	890	972.837	972.171
YAL031W-A	YAL031W-A	148.46	59.592	59.592	150.842	151.381
YAL031C	YAL031C	2114.154	2033	2033	2115.837	2115.171
YAL030W	YAL030W	189.879	104.002	104.002	192.025	192.247
YAL029C	YAL029C	4247.154	4166	4166	4248.837	4248.171
YAL028W	YAL028W	1418.154	1337	1337	1419.837	1419.171
YAL027W	YAL027W	617.162	536	536	618.853	618.249
YAL026C-A	YAL026C-A	270.673	188	188	272.708	272.534
YAL026C	YAL026C	3899.154	3818	3818	3900.837	3900.171
HRA1	HRA1	395.444	314	314	397.194	396.867
YAL025C	YAL025C	752.154	671	671	753.853	753.171
YAL024C	YAL024C	4139.154	4058	4058	4140.837	4140.171
YAL023C	YAL023C	2111.154	2030	2030	2112.837	2112.171
YAL022C	YAL022C	1385.154	1304	1304	1386.837	1386.171
YAL021C	YAL021C	2345.154	2264	2264	2346.837	2346.171
YAL020C	YAL020C	833.154	752	752	834.837	834.171
YAL019W-A	YAL019W-A	401.432	320	320	403.191	402.813
YAL019W	YAL019W	3227.154	3146	3146	3228.837	3228.171
YAL018C	YAL018C	809.154	728	728	810.853	810.171
YAL017W	YAL017W	3902.154	3821	3821	3903.837	3903.171
YAL016C-B	YAL016C-B	51.208	7.49	7.49	52.941	53.767
YAL016C-A	YAL016C-A	153.892	65.324	65.324	156.221	156.802
YAL016W	YAL016W	1739.154	1658	1658	1740.837	1740.171
YAL015C	YAL015C	1031.154	950	950	1032.837	1032.171
YAL014C	YAL014C	599.162	518	518	600.853	600.249
YAL013W	YAL013W	1049.154	968	968	1050.837	1050.171
YAL012W	YAL012W	1016.154	935	935	1017.837	1017.171
YAL011W	YAL011W	1709.154	1628	1628	1710.837	1710.171
YAL010C	YAL010C	1313.154	1232	1232	1314.837	1314.171
YAL009W	YAL009W	611.162	530	530	612.853	612.249
YAL008W	YAL008W	428.351	347	347	430.07	429.622
YAL007C	YAL007C	479.271	398	398	480.931	480.378
tP(UGG)A	tP(UGG)A	8.246	2.918	2.918	7.126	7.274
YAL005C	YAL005C	1760.154	1679	1679	1761.837	1761.171
YAL004W	YAL004W	479.271	398	398	480.931	480.378
YAL003W	YAL003W	452.299	371	371	453.955	453.506
snR18	snR18	13.169	3.543	3.543	12.813	12.992
YAL002W	YAL002W	3656.154	3575	3575	3657.837	3657.171
YAL001C	YAL001C	3314.154	3233	3233	3315.837	3315.171
YAR002W	YAR002W	1451.154	1370	1370	1452.837	1452.171
YAR002C-A	YAR002C-A	491.271	410	410	492.915	492.33
YAR003W	YAR003W	1112.154	1031	1031	1113.837	1113.171
YAR007C	YAR007C	1697.154	1616	1616	1698.837	1698.171
YAR008W	YAR008W	659.154	578	578	660.853	660.246
YAR009C	YAR009C	3422.154	3341	3341	3423.837	3423.171
YAR010C	YAR010C	1154.154	1073	1073	1155.837	1155.171
tA(UGC)A	tA(UGC)A	8.359	2.935	2.935	7.264	7.456
YAR014C	YAR014C	1961.154	1880	1880	1962.837	1962.171
YAR015W	YAR015W	752.154	671	671	753.853	753.171
YAR018C	YAR018C	1139.154	1058	1058	1140.837	1140.171
YAR019C	YAR019C	2756.154	2675	2675	2757.837	2757.171
YAR019W-A	YAR019W-A	170.387	83.038	83.038	172.634	172.86
YAR020C	YAR020C	40.637	6.156	6.156	41.674	42.763
YAR023C	YAR023C	371.568	290	290	373.295	373.025
tL(CAA)A	tL(CAA)A	9.576	3.104	3.104	8.891	9.462
tS(AGA)A	tS(AGA)A	9.576	3.104	3.104	8.891	9.462
YAR027W	YAR027W	539.167	458	458	540.905	540.268
YAR028W	YAR028W	536.168	455	455	537.907	537.268
YAR029W	YAR029W	78.812	12.734	12.734	80.776	81.754
YAR030C	YAR030C	178.803	92.011	92.011	180.928	181.077
YAR031W	YAR031W	728.154	647	647	729.853	729.171
YAR033W	YAR033W	536.168	455	455	537.907	537.268
YAR035W	YAR035W	1895.154	1814	1814	1896.837	1896.171
YAR035C-A	YAR035C-A	9.428	3.084	3.084	8.792	9.316
YAR042W	YAR042W	3398.154	3317	3317	3399.837	3399.171
YAR047C	YAR047C	159.438	71.167	71.167	161.658	162.049
YAR050W	YAR050W	4445.154	4364	4364	4446.837	4446.171
YAR053W	YAR053W	137.795	48.689	48.689	140.256	140.679
YAR060C	YAR060C	173.216	86.025	86.025	175.377	175.53
YAR061W	YAR061W	63.36	9.377	9.377	65.074	66.345
YAR062W	YAR062W	428.351	347	347	430.07	429.622
YAR064W	YAR064W	140.495	51.326	51.326	142.876	143.246
YAR066W	YAR066W	443.318	362	362	444.976	444.537
YAR068W	YAR068W	317.992	236	236	319.8	319.55
YAR069C	YAR069C	135.13	46.126	46.126	137.598	138.206
YAR070C	YAR070C	140.495	51.326	51.326	142.876	143.246
