ID	geneLength	allCountsMulti	filteredCountsMulti	dupRateMulti	dupsPerIdMulti	RPKMulti	PKMMulti	allCounts	filteredCounts	dupRate	dupsPerId	RPK	RPKM
YAL069W	315	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL068W-A	255	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL068C	363	4	4	0	0	11.0192837465565	234.717527138187	4	4	0	0	11.0192837465565	234.717527138187
YAL067W-A	228	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL067C	1782	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL066W	309	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL065C	387	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL064W-B	381	2	2	0	0	5.249343832021	111.814255054018	2	2	0	0	5.249343832021	111.814255054018
YAL064C-A	381	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL064W	285	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL063C-A	291	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL063C	3969	4	4	0	0	1.00781053162006	21.4669847193656	1	1	0	0	0.251952632905014	5.36674617984139
YAL062W	1374	5	5	0	0	3.63901018922853	77.5131571608096	5	5	0	0	3.63901018922853	77.5131571608096
YAL061W	1254	6	6	0	0	4.78468899521531	101.916820994213	6	6	0	0	4.78468899521531	101.916820994213
YAL060W	1149	32	32	0	0	27.8503046127067	593.228632558134	32	32	0	0	27.8503046127067	593.228632558134
YAL059C-A	423	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL059W	639	25	25	0	0	39.1236306729264	833.357417362695	25	25	0	0	39.1236306729264	833.357417362695
YAL058W	1509	31	31	0	0	20.5434062292909	437.587198953946	31	31	0	0	20.5434062292909	437.587198953946
YAL056C-A	351	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL056W	2643	42	42	0	0	15.8910329171396	338.488783460916	42	42	0	0	15.8910329171396	338.488783460916
YAL055W	543	3	3	0	0	5.52486187845304	117.682959048566	3	3	0	0	5.52486187845304	117.682959048566
YAL054C	2142	1	1	0	0	0.466853408029879	9.94426498029435	1	1	0	0	0.466853408029879	9.94426498029435
YAL053W	2352	76	76	0	0	32.312925170068	688.285197564659	76	76	0	0	32.312925170068	688.285197564659
YAL051W	3144	41	41	0	0	13.0407124681934	277.775203275894	41	41	0	0	13.0407124681934	277.775203275894
YAL049C	741	23	23	0	0	31.0391363022942	661.152710552201	23	23	0	0	31.0391363022942	661.152710552201
YAL048C	1989	10	10	0	0	5.02765208647562	107.09208440317	10	10	0	0	5.02765208647562	107.09208440317
YAL047W-A	330	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL047C	1869	15	15	0	0	8.02568218298556	170.951971009555	15	15	0	0	8.02568218298556	170.951971009555
YAL046C	357	10	10	0	0	28.0112044817927	596.655898817661	10	10	0	0	28.0112044817927	596.655898817661
YAL045C	309	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL044W-A	333	6	6	0	0	18.018018018018	383.794875455685	6	6	0	0	18.018018018018	383.794875455685
YAL044C	513	42	41	0.0238095238095238	1	81.8713450292398	1743.9100481232	42	41	0.0238095238095238	1	81.8713450292398	1743.9100481232
YAL043C	2358	45	45	0	0	19.0839694656489	406.500297476918	45	45	0	0	19.0839694656489	406.500297476918
YAL042C-A	378	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL042W	1248	111	110	0.00900900900900901	1	88.9423076923077	1894.52590564483	111	110	0.00900900900900901	1	88.9423076923077	1894.52590564483
YAL041W	2565	51	51	0	0	19.8830409356725	423.521011687062	51	51	0	0	19.8830409356725	423.521011687062
YAL040C	1743	43	43	0	0	24.6701090074584	525.488508476759	43	43	0	0	24.6701090074584	525.488508476759
YAL039C	810	9	9	0	0	11.1111111111111	236.673506531005	9	9	0	0	11.1111111111111	236.673506531005
YAL038W	1503	6991	6049	0.134744671720784	942	4651.36393878909	99076.9152190574	6889	5953	0.13586877631006	936	4583.499667332	97631.3644606046
YAL037C-B	975	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL037C-A	93	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL037W	804	1	1	0	0	1.24378109452736	26.4933029698887	1	1	0	0	1.24378109452736	26.4933029698887
YAL036C	1110	57	57	0	0	51.3513513513514	1093.8153950487	57	57	0	0	51.3513513513514	1093.8153950487
YAL035W	3009	409	405	0.0097799511002445	4	135.925556663343	2895.29803104231	409	405	0.0097799511002445	4	135.925556663343	2895.29803104231
YAL034C-B	354	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL034W-A	870	6	6	0	0	6.89655172413793	146.900797157176	6	6	0	0	6.89655172413793	146.900797157176
YAL034C	1242	12	12	0	0	9.66183574879227	205.803049157396	12	12	0	0	9.66183574879227	205.803049157396
YAL033W	522	10	10	0	0	19.1570881226054	408.057769881044	10	10	0	0	19.1570881226054	408.057769881044
YAL032C	1140	18	18	0	0	15.7894736842105	336.325509280902	18	18	0	0	15.7894736842105	336.325509280902
YAL031W-A	309	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL031C	2283	17	17	0	0	7.44634253175646	158.611679803959	17	17	0	0	7.44634253175646	158.611679803959
YAL030W	354	13	13	0	0	36.7231638418079	782.225996161798	13	13	0	0	36.7231638418079	782.225996161798
YAL029C	4416	150	150	0	0	33.9673913043478	723.52634469397	150	150	0	0	33.9673913043478	723.52634469397
YAL028W	1587	5	5	0	0	3.15059861373661	67.1096899426291	5	5	0	0	3.15059861373661	67.1096899426291
YAL027W	786	4	4	0	0	5.08905852417303	108.400079327178	4	4	0	0	5.08905852417303	108.400079327178
YAL026C-A	438	4	4	0	0	9.1324200913242	194.526169751511	4	4	0	0	9.1324200913242	194.526169751511
YAL026C	4068	125	125	0	0	30.7276302851524	654.517440627781	125	125	0	0	30.7276302851524	654.517440627781
HRA1	564	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL025C	921	27	27	0	0	29.3159609120521	624.448013974314	27	27	0	0	29.3159609120521	624.448013974314
YAL024C	4308	48	48	0	0	11.142061281337	237.332764209365	48	48	0	0	11.142061281337	237.332764209365
YAL023C	2280	272	268	0.0147058823529412	4	119.298245614035	2541.12607012237	272	268	0.0147058823529412	4	119.298245614035	2541.12607012237
YAL022C	1554	30	30	0	0	19.3050193050193	411.20879513109	30	30	0	0	19.3050193050193	411.20879513109
YAL021C	2514	89	88	0.0112359550561798	1	35.4017501988862	754.079072121461	87	86	0.0114942528735632	1	34.6062052505967	737.133474995136
YAL020C	1002	3	3	0	0	2.9940119760479	63.7742981670374	3	3	0	0	2.9940119760479	63.7742981670374
YAL019W-A	570	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL019W	3396	85	85	0	0	25.0294464075383	533.142616302177	85	85	0	0	25.0294464075383	533.142616302177
YAL018C	978	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL017W	4071	73	73	0	0	17.9317121100467	381.956506487032	71	71	0	0	17.4404323262098	371.491944665469
YAL016C-B	186	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL016C-A	315	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL016W	1908	116	116	0	0	60.7966457023061	1295.00597913192	116	116	0	0	60.7966457023061	1295.00597913192
YAL015C	1200	7	7	0	0	5.83333333333333	124.253590928778	7	7	0	0	5.83333333333333	124.253590928778
YAL014C	768	21	21	0	0	27.34375	582.438707478646	21	21	0	0	27.34375	582.438707478646
YAL013W	1218	10	10	0	0	8.21018062397373	174.88190137759	10	10	0	0	8.21018062397373	174.88190137759
YAL012W	1185	295	294	0.00338983050847458	1	248.945147679325	5302.68489316303	295	294	0.00338983050847458	1	248.945147679325	5302.68489316303
YAL011W	1878	18	18	0	0	9.58466453674121	204.159254835053	18	18	0	0	9.58466453674121	204.159254835053
YAL010C	1482	11	11	0	0	7.42240215924426	158.101735132048	11	11	0	0	7.42240215924426	158.101735132048
YAL009W	780	6	6	0	0	7.69230769230769	163.85088913685	6	6	0	0	7.69230769230769	163.85088913685
YAL008W	597	6	6	0	0	10.0502512562814	214.076538570759	6	6	0	0	10.0502512562814	214.076538570759
YAL007C	648	76	76	0	0	117.283950617284	2498.22034671617	74	74	0	0	114.197530864198	2432.47770601311
tP(UGG)A	72	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL005C	1929	4415	3940	0.107587768969422	475	2288.75064800415	48751.7977294427	4361	3886	0.108919972483375	475	2260.75686884396	48155.5130007021
YAL004W	648	1	1	0	0	1.54320987654321	32.8713203515285	1	1	0	0	1.54320987654321	32.8713203515285
YAL003W	621	968	902	0.0681818181818182	66	1558.77616747182	33202.8919307266	968	902	0.0681818181818182	66	1558.77616747182	33202.8919307266
snR18	102	15	13	0.133333333333333	2	147.058823529412	3132.44346879272	15	13	0.133333333333333	2	147.058823529412	3132.44346879272
YAL002W	3825	30	29	0.0333333333333333	1	7.84313725490196	167.063651668945	28	27	0.0357142857142857	1	7.3202614379085	155.926074891015
YAL001C	3483	30	30	0	0	8.61326442721792	183.467834520159	30	30	0	0	8.61326442721792	183.467834520159
YAR002W	1620	47	47	0	0	29.0123456790123	617.980822608736	47	47	0	0	29.0123456790123	617.980822608736
YAR002C-A	660	84	84	0	0	127.272727272727	2710.98743844606	84	84	0	0	127.272727272727	2710.98743844606
YAR003W	1281	18	18	0	0	14.0515222482436	299.306073833122	18	18	0	0	14.0515222482436	299.306073833122
YAR007C	1866	49	49	0	0	26.2593783494105	559.340923795141	49	49	0	0	26.2593783494105	559.340923795141
YAR008W	828	7	7	0	0	8.45410628019324	180.077668012722	7	7	0	0	8.45410628019324	180.077668012722
YAR009C	3591	18655	15723	0.157169659608684	2932	5194.93177387914	110655.244720198	18258	15349	0.159327418118085	2909	5084.3776106934	108300.372988549
YAR010C	1323	8031	6783	0.155397833395592	1248	6070.2947845805	129301.015710919	7764	6527	0.159325090159711	1237	5868.48072562358	125002.252020866
tA(UGC)A	73	0	0	NA	0	0	0	0	0	NA	0	0	0
YAR014C	2130	56	56	0	0	26.2910798122066	560.016184467731	56	56	0	0	26.2910798122066	560.016184467731
YAR015W	921	55	55	0	0	59.7176981541802	1272.0237321699	54	54	0	0	58.6319218241042	1248.89602794863
YAR018C	1308	15	15	0	0	11.4678899082569	244.273114538882	15	15	0	0	11.4678899082569	244.273114538882
YAR019C	2925	20	20	0	0	6.83760683760684	145.645234788311	20	20	0	0	6.83760683760684	145.645234788311
YAR019W-A	333	0	0	NA	0	0	0	0	0	NA	0	0	0
