Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
YAL068C	PAU8	I	-	1807	2169	1.867769	116.902481	293.489380
YAL067W-A	YAL067W-A	I	+	2480	2707	0.000000	0.000000	0.000000
YAL067C	SEO1	I	-	7235	9016	0.000000	0.000000	0.000000
YAL066W	YAL066W	I	+	10091	10399	0.000000	0.000000	0.000000
YAL065C	YAL065C	I	-	11565	11951	0.000000	0.000000	0.000000
YAL064W-B	YAL064W-B	I	+	12046	12426	1.133858	70.967453	178.167252
YAL064C-A	TDA8	I	-	13363	13743	0.000000	0.000000	0.000000
YAL064W	YAL064W	I	+	21566	21850	0.000000	0.000000	0.000000
YAL063C-A	YAL063C-A	I	-	22395	22685	0.000000	0.000000	0.000000
YAL063C	FLO9	I	-	24000	27968	0.000000	0.000000	0.000000
YAL062W	GDH3	I	+	31567	32940	1.594735	99.813454	250.586548
YAL061W	BDH2	I	+	33448	34701	1.506379	94.283310	236.702835
YAL060W	BDH1	I	+	35155	36303	6.659558	416.817505	1046.440674
YAL059C-A	YAL059C-A	I	-	36496	36918	0.000000	0.000000	0.000000
YAL059W	ECM1	I	+	36509	37147	10.395148	650.625732	1633.427612
YAL058W	CNE1	I	+	37464	38972	4.729215	295.998566	743.118835
YAL056C-A	YAL056C-A	I	-	38696	39046	0.000000	0.000000	0.000000
YAL056W	GPB2	I	+	39259	41901	4.863039	304.374542	764.147095
YAL055W	PEX22	I	+	42177	42719	0.000000	0.000000	0.000000
YAL054C	ACS1	I	-	42881	45022	0.000000	0.000000	0.000000
YAL053W	FLC2	I	+	45899	48250	10.525143	658.762024	1653.854248
YAL051W	OAF1	I	+	48564	51707	4.218263	264.018402	662.831116
YAL049C	AIM2	I	-	51855	52595	8.020918	502.024170	1260.356201
YAL048C	GEM1	I	-	52801	54789	2.279035	142.643372	358.113098
YAL047W-A	YAL047W-A	I	+	54584	54913	0.000000	0.000000	0.000000
YAL047C	SPC72	I	-	54989	56857	1.636169	102.406776	257.097229
YAL046C	AIM1	I	-	57029	57385	4.700280	294.187561	738.572205
YAL045C	YAL045C	I	-	57488	57796	0.000000	0.000000	0.000000
YAL044W-A	YAL044W-A	I	+	57518	57850	5.717718	357.868347	898.445923
YAL044C	GCV3	I	-	57950	58462	19.962963	1249.469238	3136.853516
YAL043C	PTA1	I	-	58695	61052	5.413115	338.803436	850.582581
YAL042C-A	YAL042C-A	I	-	61231	61608	0.000000	0.000000	0.000000
YAL042W	ERV46	I	+	61316	62563	23.423878	1466.085693	3680.679688
YAL041W	CDC24	I	+	62840	65404	5.807408	363.481964	912.539246
YAL040C	CLN3	I	-	65778	67520	5.702497	356.915680	896.054199
YAL039C	CYC3	I	-	68716	69525	3.591358	224.780823	564.323242
YAL038W	CDC19	I	+	71786	73288	1187.625977	74332.757812	186616.015625
YAL037C-B	YAL037C-B	I	-	72326	73300	6.980970	436.934509	1096.945312
YAL037C-A	YAL037C-A	I	-	73426	73518	0.000000	0.000000	0.000000
YAL037W	YAL037W	I	+	74020	74823	1.067164	66.793121	167.687378
YAL036C	RBG1	I	-	75043	76152	13.742793	860.152710	2159.455322
YAL035W	FUN12	I	+	76427	79435	41.882229	2621.382324	6581.107910
YAL034C-B	YAL034C-B	I	-	79489	79842	0.000000	0.000000	0.000000
YAL034W-A	MTW1	I	+	79718	80587	1.306897	81.797859	205.357513
YAL034C	FUN19	I	-	80710	81951	1.486312	93.027328	233.549637
YAL033W	POP5	I	+	82706	83227	6.395594	400.296204	1004.963074
YAL032C	PRP45	I	-	83335	84474	3.598390	225.220947	565.428162
YAL031W-A	YAL031W-A	I	+	84669	84977	0.000000	0.000000	0.000000
YAL031C	GIP4	I	-	84749	87031	2.715780	169.978958	426.740448
YAL030W	SNC1	I	+	87286	87752	10.559322	660.901306	1659.224854
YAL029C	MYO4	I	-	87855	92270	9.059942	567.056091	1423.621826
YAL028W	FRT2	I	+	92900	94486	0.000000	0.000000	0.000000
YAL027W	SAW1	I	+	94687	95472	1.348464	84.399506	211.889084
YAL026C-A	YAL026C-A	I	-	95386	95823	3.221289	201.618439	506.172913
YAL026C	DRS2	I	-	95630	99697	7.575788	474.163788	1190.411255
HRA1	HRA1	I	+	99305	99868	0.000000	0.000000	0.000000
YAL025C	MAK16	I	-	100225	101145	9.537459	596.943542	1498.655762
YAL024C	LTE1	I	-	101565	105872	2.469011	154.533829	387.964722
YAL023C	PMT2	I	-	106272	108551	33.493202	2096.318359	5262.909180
YAL022C	FUN26	I	-	108877	110430	6.049751	378.650085	950.619507
YAL021C	CCR4	I	-	110846	113359	8.905131	557.366516	1399.295776
YAL020C	ATS1	I	-	113614	114615	2.348303	146.978806	368.997437
YAL019W-A	YAL019W-A	I	+	114250	114819	0.000000	0.000000	0.000000
YAL019W	FUN30	I	+	114919	118314	8.929986	558.922119	1403.201416
YAL018C	LDS1	I	-	118564	119541	0.000000	0.000000	0.000000
YAL017W	PSK1	I	+	120225	124295	4.615369	288.873016	725.229797
YAL016C-B	YAL016C-B	I	-	124307	124492	0.000000	0.000000	0.000000
YAL016C-A	YAL016C-A	I	-	124755	125069	0.000000	0.000000	0.000000
YAL016W	TPD3	I	+	124879	126786	18.393656	1151.247192	2890.262451
YAL015C	NTG1	I	-	126903	128102	1.286667	80.531677	202.178696
YAL014C	SYN8	I	-	128252	129019	6.022135	376.921600	946.280090
YAL013W	DEP1	I	+	129270	130487	3.210591	200.948853	504.491913
YAL012W	CYS3	I	+	130799	131983	62.177216	3891.632568	9770.133789
YAL011W	SWC3	I	+	132199	134076	1.869084	116.984787	293.696014
YAL010C	MDM10	I	-	134184	135665	3.246963	203.225357	510.207184
YAL009W	SPO7	I	+	135854	136633	2.348718	147.004761	369.062653
YAL008W	FUN14	I	+	136914	137510	3.295645	206.272324	517.856750
YAL007C	ERP2	I	-	137698	138345	20.439808	1279.314697	3211.781738
tP(UGG)A	TRN1	I	+	139152	139254	2.222222	139.087479	349.185883
YAL005C	SSA1	I	-	139503	141431	692.514709	43344.058594	108817.367188
YAL004W	YAL004W	I	+	140760	141407	0.000000	0.000000	0.000000
YAL003W	EFB1	I	+	142174	143160	358.349426	22428.865234	56308.757812
snR18	snR18	I	+	142367	142468	23.186274	1451.214233	3643.343994
YAL002W	VPS8	I	+	143707	147531	2.788640	174.539215	438.189209
