Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
YAL069W	YAL069W	I	+	335	649	0.000000	0.000000	0.000000
YAL068W-A	YAL068W-A	I	+	538	792	0.000000	0.000000	0.000000
YAL068C	PAU8	I	-	1807	2169	0.000000	0.000000	0.000000
YAL067W-A	YAL067W-A	I	+	2480	2707	0.000000	0.000000	0.000000
YAL067C	SEO1	I	-	7235	9016	0.000000	0.000000	0.000000
YAL066W	YAL066W	I	+	10091	10399	0.000000	0.000000	0.000000
YAL065C	YAL065C	I	-	11565	11951	0.000000	0.000000	0.000000
YAL064W-B	YAL064W-B	I	+	12046	12426	0.000000	0.000000	0.000000
YAL064C-A	TDA8	I	-	13363	13743	0.000000	0.000000	0.000000
YAL064W	YAL064W	I	+	21566	21850	0.000000	0.000000	0.000000
YAL063C-A	YAL063C-A	I	-	22395	22685	0.000000	0.000000	0.000000
YAL063C	FLO9	I	-	24000	27968	0.000000	0.000000	0.000000
YAL062W	GDH3	I	+	31567	32940	1.220039	287.428314	576.508850
YAL061W	BDH2	I	+	33448	34701	1.172249	276.169464	553.926453
YAL060W	BDH1	I	+	35155	36303	4.877285	1149.036743	2304.678711
YAL059C-A	YAL059C-A	I	-	36496	36918	0.000000	0.000000	0.000000
YAL059W	ECM1	I	+	36509	37147	3.998435	941.989075	1889.392944
YAL058W	CNE1	I	+	37464	38972	1.895958	446.667664	895.902954
YAL056C-A	YAL056C-A	I	-	38696	39046	0.000000	0.000000	0.000000
YAL056W	GPB2	I	+	39259	41901	1.951949	459.858582	922.360535
YAL055W	PEX22	I	+	42177	42719	0.000000	0.000000	0.000000
YAL054C	ACS1	I	-	42881	45022	0.000000	0.000000	0.000000
YAL053W	FLC2	I	+	45899	48250	5.604167	1320.282593	2648.154541
YAL051W	OAF1	I	+	48564	51707	1.956266	460.875610	924.400452
YAL049C	AIM2	I	-	51855	52595	5.600540	1319.428101	2646.440674
YAL048C	GEM1	I	-	52801	54789	1.062846	250.395279	502.229919
YAL047W-A	YAL047W-A	I	+	54584	54913	0.000000	0.000000	0.000000
YAL047C	SPC72	I	-	54989	56857	1.254147	295.463806	592.625977
YAL046C	AIM1	I	-	57029	57385	1.535014	361.633087	725.344971
YAL045C	YAL045C	I	-	57488	57796	0.000000	0.000000	0.000000
YAL044W-A	YAL044W-A	I	+	57518	57850	1.474474	347.370483	696.737793
YAL044C	GCV3	I	-	57950	58462	13.348927	3144.865967	6307.810059
YAL043C	PTA1	I	-	58695	61052	2.873622	676.994995	1357.881592
YAL042C-A	YAL042C-A	I	-	61231	61608	0.000000	0.000000	0.000000
YAL042W	ERV46	I	+	61316	62563	11.997195	2826.412354	5669.071777
YAL041W	CDC24	I	+	62840	65404	2.549318	600.592407	1204.637207
YAL040C	CLN3	I	-	65778	67520	2.522088	594.177246	1191.770142
YAL039C	CYC3	I	-	68716	69525	2.206173	519.751038	1042.489746
YAL038W	CDC19	I	+	71786	73288	431.376709	101627.789062	203839.781250
YAL037C-B	YAL037C-B	I	-	72326	73300	0.000000	0.000000	0.000000
YAL037C-A	YAL037C-A	I	-	73426	73518	0.000000	0.000000	0.000000
YAL037W	YAL037W	I	+	74020	74823	0.000000	0.000000	0.000000
YAL036C	RBG1	I	-	75043	76152	5.415316	1275.791260	2558.916260
YAL035W	FUN12	I	+	76427	79435	16.136757	3801.649658	7625.151855
YAL034C-B	YAL034C-B	I	-	79489	79842	0.000000	0.000000	0.000000
YAL034W-A	MTW1	I	+	79718	80587	0.000000	0.000000	0.000000
YAL034C	FUN19	I	-	80710	81951	1.292271	304.445404	610.640869
YAL033W	POP5	I	+	82706	83227	2.593870	611.088318	1225.689453
YAL032C	PRP45	I	-	83335	84474	1.545614	364.130310	730.353821
YAL031W-A	YAL031W-A	I	+	84669	84977	0.000000	0.000000	0.000000
YAL031C	GIP4	I	-	84749	87031	1.742444	410.501404	823.362488
YAL030W	SNC1	I	+	87286	87752	5.110171	1203.902222	2414.725098
YAL029C	MYO4	I	-	87855	92270	4.097826	965.404541	1936.358521
YAL028W	FRT2	I	+	92900	94486	0.000000	0.000000	0.000000
YAL027W	SAW1	I	+	94687	95472	1.468667	346.002441	693.993774
YAL026C-A	YAL026C-A	I	-	95386	95823	1.863633	439.052246	880.628296
YAL026C	DRS2	I	-	95630	99697	4.158219	979.632385	1964.896118
HRA1	HRA1	I	+	99305	99868	0.000000	0.000000	0.000000
YAL025C	MAK16	I	-	100225	101145	3.205212	755.114136	1514.568848
YAL024C	LTE1	I	-	101565	105872	1.221913	287.869781	577.394348
YAL023C	PMT2	I	-	106272	108551	14.621651	3444.706543	6909.214355
YAL022C	FUN26	I	-	108877	110430	2.356494	555.165039	1113.521484
YAL021C	CCR4	I	-	110846	113359	4.230708	996.710144	1999.149658
YAL020C	ATS1	I	-	113614	114615	0.000000	0.000000	0.000000
YAL019W-A	YAL019W-A	I	+	114250	114819	0.000000	0.000000	0.000000
YAL019W	FUN30	I	+	114919	118314	3.313505	780.626770	1565.740845
YAL018C	LDS1	I	-	118564	119541	0.000000	0.000000	0.000000
YAL017W	PSK1	I	+	120225	124295	3.030009	713.838135	1431.779541
YAL016C-B	YAL016C-B	I	-	124307	124492	0.000000	0.000000	0.000000
YAL016C-A	YAL016C-A	I	-	124755	125069	0.000000	0.000000	0.000000
YAL016W	TPD3	I	+	124879	126786	8.899371	2096.597900	4205.247559
YAL015C	NTG1	I	-	126903	128102	0.000000	0.000000	0.000000
YAL014C	SYN8	I	-	128252	129019	2.683594	632.226379	1268.087036
YAL013W	DEP1	I	+	129270	130487	1.486043	350.096039	702.204529
YAL012W	CYS3	I	+	130799	131983	21.475527	5059.407227	10147.897461
YAL011W	SWC3	I	+	132199	134076	1.309372	308.474182	618.721619
YAL010C	MDM10	I	-	134184	135665	0.000000	0.000000	0.000000
YAL009W	SPO7	I	+	135854	136633	1.921795	452.754608	908.111755
YAL008W	FUN14	I	+	136914	137510	3.539363	833.836487	1672.466187
YAL007C	ERP2	I	-	137698	138345	10.776235	2538.767090	5092.127930
tP(UGG)A	TRN1	I	+	139152	139254	0.000000	0.000000	0.000000
YAL005C	SSA1	I	-	139503	141431	321.951965	75848.476562	152132.968750
YAL004W	YAL004W	I	+	140760	141407	0.000000	0.000000	0.000000
YAL003W	EFB1	I	+	142174	143160	138.805161	32701.031250	65590.039062
snR18	snR18	I	+	142367	142468	7.245098	1706.868530	3423.548828
YAL002W	VPS8	I	+	143707	147531	0.000000	0.000000	0.000000
YAL001C	TFC3	I	-	147594	151166	2.059533	485.204224	973.197632
YAR002W	NUP60	I	+	152257	153876	3.979632	937.559204	1880.507935
YAR002C-A	ERP1	I	-	154065	154724	12.551516	2957.004395	5931.006836
YAR003W	SWD1	I	+	155005	156285	1.333333	314.119171	630.044006
YAR007C	RFA1	I	-	156754	158619	3.696409	870.834961	1746.675659
YAR008W	SEN34	I	+	158966	159793	1.811594	426.792419	856.038147
YAR009C	YAR009C	I	-	160597	164187	477.366760	112462.562500	225571.593750
YAR010C	YAR010C	I	-	164544	165866	486.011627	114499.203125	229656.578125
