Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
YAL069W	YAL069W	I	+	335	649	0.000000	0.000000	0.000000
YAL068W-A	YAL068W-A	I	+	538	792	0.000000	0.000000	0.000000
YAL068C	PAU8	I	-	1807	2169	1.134986	138.033188	337.441040
YAL067W-A	YAL067W-A	I	+	2480	2707	0.000000	0.000000	0.000000
YAL067C	SEO1	I	-	7235	9016	0.000000	0.000000	0.000000
YAL066W	YAL066W	I	+	10091	10399	0.000000	0.000000	0.000000
YAL065C	YAL065C	I	-	11565	11951	0.000000	0.000000	0.000000
YAL064W-B	YAL064W-B	I	+	12046	12426	0.000000	0.000000	0.000000
YAL064C-A	TDA8	I	-	13363	13743	0.000000	0.000000	0.000000
YAL064W	YAL064W	I	+	21566	21850	0.000000	0.000000	0.000000
YAL063C-A	YAL063C-A	I	-	22395	22685	0.000000	0.000000	0.000000
YAL063C	FLO9	I	-	24000	27968	0.000000	0.000000	0.000000
YAL062W	GDH3	I	+	31567	32940	0.000000	0.000000	0.000000
YAL061W	BDH2	I	+	33448	34701	4.182082	508.610809	1243.368774
YAL060W	BDH1	I	+	35155	36303	7.742820	941.655762	2302.006592
YAL059C-A	YAL059C-A	I	-	36496	36918	0.000000	0.000000	0.000000
YAL059W	ECM1	I	+	36509	37147	5.414711	658.518982	1609.839844
YAL058W	CNE1	I	+	37464	38972	2.605923	316.923584	774.763184
YAL056C-A	YAL056C-A	I	-	38696	39046	0.000000	0.000000	0.000000
YAL056W	GPB2	I	+	39259	41901	3.898978	474.180634	1159.199463
YAL055W	PEX22	I	+	42177	42719	2.303867	280.188599	684.959351
YAL054C	ACS1	I	-	42881	45022	0.000000	0.000000	0.000000
YAL053W	FLC2	I	+	45899	48250	8.182188	995.090271	2432.634521
YAL051W	OAF1	I	+	48564	51707	2.000636	243.310654	594.806213
YAL049C	AIM2	I	-	51855	52595	8.186910	995.664490	2434.038086
YAL048C	GEM1	I	-	52801	54789	1.686275	205.079102	501.343964
YAL047W-A	YAL047W-A	I	+	54584	54913	0.000000	0.000000	0.000000
YAL047C	SPC72	I	-	54989	56857	1.755484	213.496078	521.920410
YAL046C	AIM1	I	-	57029	57385	1.554622	189.067917	462.202393
YAL045C	YAL045C	I	-	57488	57796	0.000000	0.000000	0.000000
YAL044W-A	YAL044W-A	I	+	57518	57850	4.924925	598.952881	1464.222290
YAL044C	GCV3	I	-	57950	58462	13.306043	1618.236206	3956.000244
YAL043C	PTA1	I	-	58695	61052	4.739610	576.415466	1409.126587
YAL042C-A	YAL042C-A	I	-	61231	61608	0.000000	0.000000	0.000000
YAL042W	ERV46	I	+	61316	62563	19.532652	2375.495605	5807.224121
YAL041W	CDC24	I	+	62840	65404	4.308382	523.971008	1280.918823
YAL040C	CLN3	I	-	65778	67520	3.552081	431.992188	1056.064087
YAL039C	CYC3	I	-	68716	69525	2.196296	267.106140	652.977539
YAL038W	CDC19	I	+	71786	73288	656.841980	79882.914062	195284.734375
YAL037C-B	YAL037C-B	I	-	72326	73300	3.987197	484.909515	1185.427734
YAL037C-A	YAL037C-A	I	-	73426	73518	0.000000	0.000000	0.000000
YAL037W	YAL037W	I	+	74020	74823	1.283271	156.067108	381.527435
YAL036C	RBG1	I	-	75043	76152	8.678266	1055.421631	2580.122559
YAL035W	FUN12	I	+	76427	79435	22.896809	2784.633057	6807.416504
YAL034C-B	YAL034C-B	I	-	79489	79842	0.000000	0.000000	0.000000
YAL034W-A	MTW1	I	+	79718	80587	1.642529	199.758865	488.337921
YAL034C	FUN19	I	-	80710	81951	2.148953	261.348480	638.902100
YAL033W	POP5	I	+	82706	83227	4.045019	491.941650	1202.618774
YAL032C	PRP45	I	-	83335	84474	2.711404	329.751862	806.123596
YAL031W-A	YAL031W-A	I	+	84669	84977	0.000000	0.000000	0.000000
YAL031C	GIP4	I	-	84749	87031	2.878230	350.040680	855.722351
YAL030W	SNC1	I	+	87286	87752	8.364407	1017.251099	2486.809570
YAL029C	MYO4	I	-	87855	92270	6.476364	787.633728	1925.478394
YAL028W	FRT2	I	+	92900	94486	0.000000	0.000000	0.000000
YAL027W	SAW1	I	+	94687	95472	2.218407	269.795197	659.551331
YAL026C-A	YAL026C-A	I	-	95386	95823	4.415930	537.050598	1312.893677
YAL026C	DRS2	I	-	95630	99697	5.065795	616.085022	1506.104126
HRA1	HRA1	I	+	99305	99868	0.000000	0.000000	0.000000
YAL025C	MAK16	I	-	100225	101145	3.865364	470.092590	1149.205688
YAL024C	LTE1	I	-	101565	105872	1.965094	238.988144	584.239258
YAL023C	PMT2	I	-	106272	108551	23.464474	2853.670654	6976.188477
YAL022C	FUN26	I	-	108877	110430	4.604448	559.977478	1368.941772
YAL021C	CCR4	I	-	110846	113359	7.216786	877.681274	2145.612061
YAL020C	ATS1	I	-	113614	114615	1.995010	242.626434	593.133545
YAL019W-A	YAL019W-A	I	+	114250	114819	0.000000	0.000000	0.000000
YAL019W	FUN30	I	+	114919	118314	5.043875	613.419189	1499.587158
YAL018C	LDS1	I	-	118564	119541	0.000000	0.000000	0.000000
YAL017W	PSK1	I	+	120225	124295	4.301932	523.186523	1279.001099
YAL016C-B	YAL016C-B	I	-	124307	124492	0.000000	0.000000	0.000000
YAL016C-A	YAL016C-A	I	-	124755	125069	0.000000	0.000000	0.000000
YAL016W	TPD3	I	+	124879	126786	13.134434	1597.365723	3904.979492
YAL015C	NTG1	I	-	126903	128102	1.607500	195.498749	477.923492
YAL014C	SYN8	I	-	128252	129019	3.416667	415.523560	1015.804321
YAL013W	DEP1	I	+	129270	130487	1.502053	182.674652	446.573181
YAL012W	CYS3	I	+	130799	131983	39.064980	4750.952148	11614.352539
YAL011W	SWC3	I	+	132199	134076	1.111106	135.128998	330.341309
YAL010C	MDM10	I	-	134184	135665	1.326586	161.334930	394.405365
YAL009W	SPO7	I	+	135854	136633	3.720513	452.476318	1106.140259
YAL008W	FUN14	I	+	136914	137510	4.487437	545.747009	1334.153320
YAL007C	ERP2	I	-	137698	138345	16.027784	1949.245361	4765.197266
tP(UGG)A	TRN1	I	+	139152	139254	0.000000	0.000000	0.000000
YAL005C	SSA1	I	-	139503	141431	530.691833	64540.957031	157779.218750
YAL004W	YAL004W	I	+	140760	141407	0.000000	0.000000	0.000000
YAL003W	EFB1	I	+	142174	143160	199.529785	24266.144531	59321.910156
snR18	snR18	I	+	142367	142468	5.843137	710.622742	1737.214600
YAL002W	VPS8	I	+	143707	147531	1.478693	179.833679	439.628052
YAL001C	TFC3	I	-	147594	151166	2.750790	334.541870	817.833374
YAR002W	NUP60	I	+	152257	153876	6.201234	754.173279	1843.679810
YAR002C-A	ERP1	I	-	154065	154724	20.416666	2483.006348	6070.049316
YAR003W	SWD1	I	+	155005	156285	3.584699	435.959045	1065.761597
YAR007C	RFA1	I	-	156754	158619	5.403269	657.127380	1606.437988
YAR008W	SEN34	I	+	158966	159793	2.159420	262.621399	642.014038
YAR009C	YAR009C	I	-	160597	164187	759.116699	92321.226562	225691.875000
YAR010C	YAR010C	I	-	164544	165866	804.719971	97867.343750	239250.125000
